"Part Number","Part Description","Product Group","Inspection Phase","Operation","Job Data Field","Material Name","Material Part Number","Material Description","Variable Name","Attribute Name","Required","Sort Order","Unit","Location","Inspection Method","Target","Lower Spec","Upper Spec","Lower Control","Upper Control","Drift Rule","Startup Required","Startup Sample Size","Startup Frequency Type","Startup Frequency","Startup Frequency Unit","Setup Required","Setup Sample Size","Setup Frequency Type","Setup Frequency","Setup Frequency Unit","In Process Required","In Process Sample Size","In Process Frequency Type","In Process Frequency","In Process Frequency Unit"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Startup","","Shift","","","","","","true","1","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Startup","","Box Number","","","","","","true","2","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Startup","","Day or Night","","","","","","false","3","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Startup","","Recorded Source","","","","","","false","4","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Setup","","Shift","","","","","","true","1","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Setup","","Box Number","","","","","","true","2","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Setup","","Day or Night","","","","","","false","3","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Setup","","Recorded Source","","","","","","false","4","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","In Process","","Shift","","","","","","true","1","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","In Process","","Box Number","","","","","","true","2","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","In Process","","Day or Night","","","","","","false","3","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","In Process","","Recorded Source","","","","","","false","4","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","","Overall Visual","","1","","","Visual","","","","","","SpecLimitOnly","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","","Jaw Check for Burrs and Cracking at Forms","","2","","","Visual GP37","","","","","","SpecLimitOnly","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","","Spring Clip Fully Pressed Against Jaw","","3","","","Visual GP37","","","","","","SpecLimitOnly","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Weld Pool Clearance from Contact Face","","","4","in","","Comparator FX194",".015",".015","9999","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Inside Legs Gap No Clip","","","5","in","","Caliper",".065",".055",".075","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Shear Force","","","6","lbs","","Force Gage / FX196","325","325","9999","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","3","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","","Brazed Contact to Jaw","","7","","","Visual","","","","","","SpecLimitOnly","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Contact Diameter After Welding","","","8","in","","Caliper",".194","0",".194","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Jaw Width","","","9","in","","Caliper",".470",".465",".475","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Jaw Height Two Places","","","10","in","","Caliper",".600",".585",".615","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Jaw Length","","","11","in","","Caliper",".544",".539",".549","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Jaw Length With Contact BOA Requirement","","","12","in","","Caliper",".604","0",".604","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Jaw With Contact Thickness","","","13","in","","Caliper",".096",".087",".105","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Side Contact Location","","","14","in","","Comparator FX194",".1415",".1315",".1515","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Jaw With Contact Angle","","","15","deg","","Comparator FX194","90","88","92","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Bottom Contact Location","","","16","in","","Comparator FX194",".018",".006",".030","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Material Thickness","","","17","in","","Micrometer",".050",".049",".051","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","","Visual ID Stamp Orientation","","18","","","Visual","","","","","","SpecLimitOnly","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","","Jaw Profile No Clip","","19","","","Template T-071","","","","","","SpecLimitOnly","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Jaw Leg Width","","","20","in","","Caliper",".295",".290",".300","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Jaw Tab Width","","","21","in","","Caliper",".250",".240",".260","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Jaw Tab Center","","","22","in","","Template T-071",".010","0",".010","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Material Thickness Coil Change","","","23","in","","Micrometer",".050",".049",".051","","","WesternElectric","","","","","","","","","","","true","2","Event","1","MaterialChange"
